Time step,No. of infected agents,No. of infected (rand),No. of infected (det)
0,119,37,30
1,119,39,30
2,120,37,30
3,120,29,30
4,126,32,32
5,127,37,33
6,135,43,34
7,144,52,35
8,160,50,41
9,170,48,43
10,175,47,44
11,177,58,45
12,179,48,45
13,183,51,46
14,185,47,46
15,196,54,51
16,200,51,53
17,202,62,53
18,202,58,53
19,202,49,53
20,209,71,54
21,211,61,55
22,219,61,58
23,229,73,63
24,241,63,70
25,252,79,70
26,270,87,78
27,284,85,83
28,292,89,87
29,294,92,87
30,307,79,91
31,311,92,91
32,320,102,96
33,331,106,97
34,346,100,104
35,362,109,107
36,383,110,110
37,417,115,119
38,437,131,128
39,446,117,130
40,456,123,133
41,460,130,134
42,461,127,135
43,465,116,136
44,481,154,139
45,481,150,139
46,484,142,139
47,497,140,141
48,500,145,142
49,507,151,145
50,516,161,147
51,517,164,147
52,517,162,147
53,523,159,147
54,526,153,147
55,530,144,147
56,533,141,149
57,533,140,149
58,539,159,151
59,540,177,152
60,543,154,152
61,547,155,152
62,552,169,154
63,552,175,154
64,554,162,154
65,555,153,155
66,558,179,156
67,559,160,156
68,564,168,157
69,571,177,158
70,573,172,159
71,573,170,159
72,580,168,164
73,594,168,169
74,596,205,170
75,599,165,172
76,601,170,173
77,608,173,174
78,609,182,174
79,609,188,174
80,615,192,175
81,617,170,175
82,620,181,175
83,620,187,175
84,623,173,176
85,626,172,176
86,627,200,176
87,627,170,176
88,628,172,176
89,634,169,178
90,636,181,179
91,646,192,183
92,646,183,183
93,647,174,184
94,648,195,185
95,654,211,188
96,655,196,189
97,656,211,189
98,657,200,189
99,659,185,189
100,547,174,160
101,540,158,159
102,544,167,160
103,544,170,160
104,543,168,160
105,537,157,157
106,532,154,156
107,525,162,155
108,511,168,153
109,503,150,149
110,495,140,148
111,495,149,147
112,499,152,149
113,498,136,149
114,500,158,151
115,492,151,149
116,489,147,147
117,487,141,146
118,488,133,146
119,489,141,146
120,485,144,146
121,514,169,155
122,520,151,153
123,518,153,151
124,514,171,146
125,507,171,143
126,489,152,138
127,478,136,133
128,472,153,130
129,470,149,128
130,467,128,126
131,473,152,129
132,469,139,129
133,464,128,127
134,459,139,125
135,449,123,121
136,431,139,119
137,412,116,116
138,390,109,109
139,370,111,100
140,360,103,98
141,362,110,98
142,359,98,97
143,359,118,96
144,360,119,98
145,351,101,99
146,357,107,101
147,355,113,100
148,351,115,100
149,363,115,109
150,363,97,112
151,368,98,113
152,369,111,114
153,375,114,119
154,376,110,120
155,377,124,122
156,388,108,124
157,398,116,125
158,408,115,129
159,420,112,136
160,436,109,140
161,442,131,143
162,442,132,144
163,443,119,144
164,450,126,145
165,456,130,145
166,462,154,148
167,466,153,150
168,471,134,151
169,480,127,152
170,485,148,154
171,491,145,156
172,491,145,154
173,482,148,150
174,480,171,149
175,486,135,149
176,486,141,147
177,495,155,149
178,490,136,149
179,495,159,150
180,498,138,149
181,503,156,150
182,506,147,151
183,513,180,154
184,518,166,156
185,527,181,158
186,527,168,159
187,531,160,159
188,535,159,160
189,532,164,158
190,536,154,159
191,531,165,157
192,531,154,155
193,539,163,158
194,543,156,159
195,547,155,161
196,550,161,161
197,560,161,165
198,562,154,166
199,567,160,166
200,572,170,168
201,584,166,173
202,593,173,179
203,597,165,181
204,606,182,182
205,616,186,185
206,636,197,190
207,647,194,192
208,664,205,193
209,678,193,198
210,680,190,198
211,680,192,198
212,684,201,198
213,685,187,199
214,684,207,198
215,686,213,199
216,690,198,200
217,694,200,203
218,697,206,204
219,698,220,205
220,699,224,205
221,704,201,206
222,674,203,195
223,667,207,194
224,665,211,195
225,667,207,197
226,672,185,200
227,679,201,202
228,691,195,206
229,688,230,205
230,690,221,209
231,691,211,210
232,684,212,208
233,688,220,210
234,690,199,211
235,694,201,213
236,694,200,213
237,696,207,213
238,695,200,213
239,696,221,214
240,701,216,216
241,701,195,216
242,701,214,217
243,707,224,218
244,708,207,218
245,708,201,217
246,704,212,214
247,706,221,214
248,700,218,213
249,694,209,209
250,685,204,202
251,678,179,199
252,679,199,201
253,675,194,197
254,675,204,197
255,671,221,196
256,680,221,198
257,669,192,195
258,663,201,193
259,659,200,192
260,643,228,184
261,633,202,179
262,624,190,176
263,624,189,175
264,624,198,175
265,619,178,175
266,614,193,175
267,613,195,172
268,612,180,171
269,610,179,171
270,599,182,173
271,601,190,174
272,608,193,174
273,614,190,176
274,620,183,183
275,623,179,183
276,627,195,185
277,628,198,187
278,638,198,193
279,641,202,194
280,640,200,194
281,638,175,197
282,649,202,202
283,654,188,206
284,660,212,206
285,659,188,206
286,666,212,211
287,670,196,210
288,677,184,218
289,682,220,220
290,679,189,220
291,684,231,220
292,693,220,223
293,694,199,222
294,695,201,222
295,696,213,220
296,694,223,221
297,690,203,218
298,689,228,216
299,689,198,216
300,686,221,217
301,681,201,214
302,677,206,210
303,671,207,204
304,670,205,204
305,659,183,203
306,650,192,200
307,649,197,198
308,642,183,198
309,632,155,197
310,631,186,199
311,632,175,201
312,630,194,200
313,627,192,197
314,637,187,197
315,639,190,197
316,647,175,200
317,652,184,200
318,650,205,199
319,658,176,204
320,665,191,206
321,669,204,206
322,677,220,209
323,676,194,211
324,678,200,211
325,680,215,213
326,675,199,211
327,674,195,211
328,666,201,209
329,678,198,211
330,683,190,211
331,688,205,212
332,692,195,210
333,701,216,210
334,708,192,209
335,709,200,208
336,705,211,207
337,706,195,205
338,703,195,206
339,709,193,206
340,708,192,206
341,706,214,206
342,706,207,206
343,707,201,208
344,702,209,207
345,703,220,207
346,702,213,208
347,701,232,209
348,703,206,209
349,713,209,211
350,718,213,211
351,719,221,212
352,719,206,211
353,718,213,212
354,720,205,213
355,722,214,216
356,717,221,214
357,717,213,215
358,717,221,215
359,721,232,215
360,718,217,216
361,715,220,217
362,714,208,217
363,718,228,221
364,729,216,225
365,735,204,228
366,739,217,228
367,737,216,228
368,740,242,229
369,748,202,230
370,754,210,233
371,753,221,230
372,747,230,226
373,740,209,225
374,732,208,221
375,725,223,215
376,716,204,212
377,712,234,212
378,707,207,207
379,700,224,205
380,699,228,204
381,697,235,203
382,694,193,201
383,686,223,197
384,674,214,195
385,672,193,194
386,664,203,190
387,652,190,186
388,647,210,184
389,644,198,179
390,645,192,178
391,641,193,177
392,639,174,179
393,639,183,182
394,645,194,187
395,650,202,185
396,658,205,188
397,662,192,190
398,667,211,191
399,675,209,195
400,681,192,198
401,680,195,196
402,683,182,200
403,689,211,205
404,694,206,205
405,702,224,206
406,712,189,207
407,717,215,213
408,715,216,213
409,724,235,214
410,729,196,216
411,731,229,213
412,736,218,215
413,744,240,219
414,749,240,221
415,743,228,222
416,747,215,220
417,745,218,223
418,740,244,221
419,739,197,218
420,733,229,217
421,737,199,217
422,735,216,217
423,733,220,218
424,736,231,218
425,730,230,215
426,731,220,216
427,732,196,216
428,735,224,216
429,733,236,212
430,732,227,211
431,720,215,208
432,718,215,207
433,721,226,211
434,706,215,210
435,696,227,208
436,701,219,208
437,704,224,209
438,704,204,210
439,704,221,210
440,704,200,212
441,718,196,215
442,722,187,217
443,731,201,220
444,737,218,221
445,745,198,225
446,755,234,228
447,767,228,230
448,767,201,230
449,767,218,231
450,763,247,232
451,765,224,234
452,769,225,232
453,772,217,233
454,773,255,229
455,779,228,229
456,784,219,229
457,791,245,228
458,799,248,230
459,799,242,232
460,801,263,234
461,805,257,233
462,810,246,235
463,812,226,235
464,808,227,234
465,798,243,229
466,798,261,231
467,802,221,233
468,802,233,233
469,798,236,231
470,792,250,232
471,781,230,226
472,780,253,228
473,780,259,229
474,782,221,229
475,789,235,232
476,789,254,234
477,796,248,235
478,801,240,240
479,801,224,242
480,802,226,240
481,802,218,240
482,804,245,239
483,802,262,238
484,801,272,239
485,803,234,239
486,805,262,242
487,808,244,242
488,813,258,245
489,818,245,247
490,816,237,248
491,815,247,248
492,827,256,250
493,826,273,246
494,822,257,242
495,817,268,241
496,804,241,240
497,795,253,234
498,788,234,231
499,786,230,231
500,778,219,226
501,770,230,225
502,772,229,226
503,771,198,223
504,765,235,220
505,760,224,219
506,759,227,223
507,756,211,222
508,749,205,218
509,742,218,216
510,730,234,213
511,716,212,208
512,714,212,209
513,713,206,208
514,705,226,204
515,703,207,206
516,701,205,204
517,703,224,206
518,706,203,206
519,718,199,211
520,719,215,211
521,717,216,213
522,718,216,213
523,719,205,213
524,721,216,212
525,723,227,212
526,726,216,210
527,732,208,210
528,732,217,213
529,731,214,215
530,726,204,214
531,725,222,213
532,735,206,215
533,731,217,215
534,739,218,218
535,751,214,221
536,759,236,227
537,756,230,227
538,757,237,227
539,766,210,232
540,764,244,229
541,770,250,232
542,765,236,230
543,769,233,228
544,774,235,232
545,781,242,235
546,772,227,232
547,757,223,227
548,753,231,227
549,752,232,226
550,759,249,228
551,756,207,224
552,755,224,223
553,745,218,222
554,755,209,223
555,748,218,223
556,744,214,227
557,737,234,225
558,731,221,223
559,733,211,223
560,730,216,220
561,729,219,221
562,727,196,221
563,728,235,220
564,726,229,219
565,730,218,219
566,732,234,220
567,732,197,221
568,731,220,220
569,738,241,222
570,748,231,228
571,753,237,228
572,756,255,228
573,760,213,230
574,768,229,231
575,772,228,234
576,776,223,235
577,779,247,235
578,783,262,235
579,780,235,231
580,784,225,231
581,785,241,230
582,795,246,232
583,795,257,232
584,800,249,232
585,808,235,234
586,807,241,233
587,810,237,231
588,809,256,233
589,809,232,233
590,807,229,232
591,804,271,231
592,807,256,233
593,795,241,230
594,792,245,232
595,785,214,230
596,781,258,229
597,782,242,230
598,789,231,233
599,793,227,235
600,794,246,238
601,799,209,241
602,798,247,238
603,796,233,239
604,797,232,238
605,799,234,239
606,797,235,241
607,791,257,238
608,788,232,236
609,796,259,236
610,798,243,237
611,802,250,241
612,804,247,241
613,803,269,239
614,807,253,241
615,812,256,240
616,814,224,241
617,811,224,240
618,812,229,245
619,799,231,238
620,798,246,235
621,796,262,233
622,793,227,232
623,787,246,232
624,787,239,232
625,789,236,234
626,783,232,234
627,775,256,232
628,775,235,232
629,779,243,232
630,785,226,232
631,777,244,231
632,777,230,233
633,767,238,232
634,769,242,233
635,756,225,231
636,746,209,223
637,744,209,224
638,745,202,224
639,738,212,221
640,738,221,222
641,742,218,221
642,735,204,220
643,728,230,219
644,722,234,216
645,721,225,214
646,715,236,212
647,719,229,211
648,728,213,213
649,735,230,213
650,739,232,213
651,741,225,215
652,741,240,215
653,745,218,217
654,752,228,219
655,747,230,219
656,751,217,218
657,751,225,215
658,757,218,221
659,755,222,220
660,756,227,224
661,756,235,221
662,759,225,224
663,761,238,224
664,767,253,226
665,777,239,230
666,794,255,239
667,799,224,241
668,795,243,239
669,792,243,238
670,782,236,233
671,782,242,233
672,779,219,235
673,782,227,235
674,782,258,233
675,775,229,232
676,782,228,231
677,779,253,230
678,780,258,233
679,777,214,231
680,777,244,229
681,783,221,230
682,785,239,230
683,774,231,229
684,772,266,231
685,770,219,231
686,766,203,230
687,760,220,226
688,760,228,229
689,766,234,230
690,768,224,231
691,769,239,231
692,769,231,229
693,769,247,229
694,774,237,231
695,780,248,232
696,781,233,234
697,792,242,239
698,798,257,237
699,799,253,237
700,808,237,238
701,810,251,238
702,810,214,236
703,811,221,237
704,816,242,237
705,818,231,237
706,824,241,236
707,827,233,236
708,832,259,240
709,831,256,240
710,829,228,239
711,826,247,239
712,825,253,238
713,827,273,239
714,826,242,237
715,824,252,237
716,813,251,237
717,807,225,233
718,804,248,232
719,796,224,229
720,795,225,229
721,795,244,231
722,798,243,232
723,800,248,233
724,801,252,233
725,800,238,234
726,800,238,233
727,802,244,234
728,799,241,235
729,799,236,237
730,794,244,234
731,792,249,234
732,796,253,235
733,800,247,236
734,805,241,237
735,805,251,237
736,805,262,237
737,808,245,238
738,810,264,239
739,808,235,239
740,809,269,240
741,803,240,235
742,801,245,236
743,804,249,234
744,810,243,237
745,807,230,238
746,808,263,236
747,811,228,237
748,807,236,237
749,800,228,235
750,792,240,234
751,786,220,233
752,785,246,234
753,784,246,234
754,781,237,231
755,772,239,230
756,773,248,233
757,772,214,235
758,769,239,235
759,768,227,232
760,766,239,232
761,764,233,227
762,762,223,230
763,764,223,226
764,761,247,224
765,755,220,225
766,736,203,218
767,728,210,216
768,723,214,212
769,726,211,211
770,734,246,215
771,737,221,214
772,737,207,215
773,740,227,215
774,741,201,220
775,748,211,222
776,759,227,226
777,754,229,225
778,753,228,224
779,750,223,222
780,750,223,223
781,741,240,221
782,746,209,225
783,748,227,225
784,757,240,229
785,754,228,227
786,756,227,230
787,774,244,236
788,781,241,239
789,784,244,239
790,779,264,236
791,778,208,234
792,786,217,241
793,785,250,243
794,780,236,242
795,783,237,242
796,780,267,240
797,776,233,236
798,772,228,234
799,765,227,233
800,768,219,235
801,763,229,237
802,761,234,237
803,767,232,238
804,770,254,237
805,766,252,236
806,766,238,241
807,764,229,242
808,767,223,242
809,766,234,240
810,765,238,240
811,771,232,241
812,773,244,241
813,769,214,240
814,772,223,242
815,776,247,242
816,781,222,242
817,789,237,243
818,791,250,246
819,799,247,250
820,808,251,251
821,810,229,251
822,809,235,251
823,810,255,249
824,809,256,247
825,815,235,249
826,815,241,248
827,815,243,247
828,819,249,247
829,824,227,246
830,823,237,244
831,828,254,245
832,827,240,244
833,830,248,248
834,830,245,246
835,833,248,248
836,834,249,245
837,837,268,245
838,832,224,244
839,828,269,242
840,826,247,243
841,823,250,241
842,820,270,240
843,821,249,240
844,817,241,241
845,811,245,238
846,808,238,234
847,803,247,236
848,807,252,236
849,807,233,236
850,809,245,237
851,806,270,237
852,808,258,238
853,807,242,240
854,808,240,240
855,810,242,242
856,809,226,241
857,809,247,238
858,812,249,239
859,809,252,239
860,815,260,241
861,812,233,241
862,814,239,244
863,812,256,240
864,806,243,238
865,800,249,235
866,799,236,235
867,797,227,234
868,798,245,233
869,798,245,231
870,792,243,230
871,786,227,229
872,779,231,228
873,779,234,230
874,778,243,229
875,780,257,225
876,769,213,219
877,761,249,216
878,753,231,215
879,748,234,215
880,751,231,219
881,755,233,220
882,753,223,220
883,745,232,217
884,741,214,219
885,740,229,219
886,740,214,219
887,739,236,218
888,721,215,212
889,721,215,212
890,720,208,213
891,725,207,215
892,728,225,214
893,725,219,212
894,728,227,211
895,735,215,215
896,739,229,219
897,746,228,225
898,753,234,227
899,761,239,228
900,759,236,229
901,752,223,224
902,755,248,225
903,754,246,222
904,757,237,223
905,760,233,223
906,768,250,227
907,764,252,225
908,763,224,224
909,768,233,226
910,776,207,228
911,781,249,233
912,784,251,235
913,786,218,236
914,784,239,236
915,778,242,237
916,777,237,238
917,776,234,239
918,777,263,240
919,782,236,238
920,781,234,236
921,768,248,231
922,772,236,234
923,771,226,234
924,768,200,236
925,767,219,236
926,763,246,234
927,770,234,235
928,767,219,235
929,767,237,237
930,767,214,238
931,767,233,237
932,764,245,237
933,767,244,236
934,763,238,233
935,759,217,230
936,757,210,230
937,759,249,231
938,758,217,230
939,763,246,231
940,759,232,229
941,768,209,236
942,775,250,237
943,778,219,238
944,778,279,236
945,784,224,238
946,788,241,239
947,792,246,243
948,791,245,242
949,787,213,242
950,795,238,245
951,795,242,242
952,793,231,242
953,798,229,242
954,798,220,239
955,806,241,243
956,805,233,244
957,812,239,247
958,818,233,248
959,819,235,246
960,819,252,245
961,817,250,244
962,814,243,243
963,818,259,243
964,817,241,244
965,824,252,248
966,828,253,247
967,830,222,248
968,832,234,248
969,831,237,249
970,832,270,249
971,834,247,250
972,837,248,250
973,837,251,248
974,836,238,247
975,836,237,247
976,834,264,249
977,841,265,251
978,842,247,252
979,844,246,253
980,843,239,255
981,841,263,253
982,838,233,252
983,837,244,252
984,841,245,255
985,839,247,250
986,838,253,248
987,833,243,244
988,832,255,243
989,829,213,244
990,823,267,240
991,822,256,241
992,816,247,239
993,810,226,237
994,806,238,236
995,804,246,236
996,803,239,234
997,801,233,231
998,798,234,226
999,791,227,226
